Record Id,Record Id,Search Name,Srch Created,Type of Case,Subject,Case Mgr,Primary Law Firm,Search Stage,Search Failed Date,K Date,Hours Reported,Source,Division,NOS,Clone?,Billing Date,Last Billed Date
zcrm_1936942000200474148,,LenhardMJames_PerkinsCoie_MYLAN,20-Feb-24,Intellectual Property,Pharmaceuticals,Susanna Ryan,Perkins Coie LLP,Cases Underway (5),24-Apr-24,13-Aug-24,,Inbound,Patent,830 Patent,TRUE,,
zcrm_1936942000199313032,,PlankHermann_ShookHardy_CLOROX,12-Feb-24,Tort,Containers and Packaging,Christopher Park,Shook Hardy & Bacon LLP,Cases Underway (5),10-Apr-24,29-Jul-24,,Inbound,Patent,,FALSE,,
zcrm_1936942000204422343,zcrm_1936942000221019052,LindellPer_Goodwin_ZEALAND,18-Mar-24,Intellectual Property,Pharmaceuticals,Susanna Ryan,Goodwin Procter LLP,Cases Underway (5),,25-Jun-24,0,Inbound,Patent,,FALSE,30-Jun-24,
zcrm_1936942000204422343,zcrm_1936942000224419048,LindellPer_Goodwin_ZEALAND,18-Mar-24,Intellectual Property,Pharmaceuticals,Susanna Ryan,Goodwin Procter LLP,Cases Underway (5),,25-Jun-24,0,Inbound,Patent,,FALSE,31-Jul-24,
zcrm_1936942000182754961,zcrm_1936942000221019066,McClellanStan_PrinceLobel_INTELLECTUALVENTURES,27-Sep-23,Intellectual Property,Telecommunications,Kara Magid,Prince Lobel Tye LLP,Cases Underway (5),,25-Jun-24,0,Inbound,Patent,830 Patent,FALSE,30-Jun-24,31-Jul-24
zcrm_1936942000182754961,zcrm_1936942000224417129,McClellanStan_PrinceLobel_INTELLECTUALVENTURES,27-Sep-23,Intellectual Property,Telecommunications,Kara Magid,Prince Lobel Tye LLP,Cases Underway (5),,25-Jun-24,1,Inbound,Patent,830 Patent,FALSE,31-Jul-24,31-Jul-24
zcrm_1936942000205631294,zcrm_1936942000216407424,ZirwasMatthew_TREEHOUSELAWLLP_unknown,26-Mar-24,Class Action,Chemicals - Nonpharmaceuticals,Kara Magid,"Treehouse Law, LLP",Cases Underway (5),,21-May-24,0,Inbound,Expansion,,FALSE,31-May-24,
zcrm_1936942000205631294,zcrm_1936942000224419154,ZirwasMatthew_TREEHOUSELAWLLP_unknown,26-Mar-24,Class Action,Chemicals - Nonpharmaceuticals,Kara Magid,"Treehouse Law, LLP",Cases Underway (5),,21-May-24,0,Inbound,Expansion,,FALSE,31-Jul-24,
zcrm_1936942000205631294,zcrm_1936942000221019159,ZirwasMatthew_TREEHOUSELAWLLP_unknown,26-Mar-24,Class Action,Chemicals - Nonpharmaceuticals,Kara Magid,"Treehouse Law, LLP",Cases Underway (5),,21-May-24,0,Inbound,Expansion,,FALSE,30-Jun-24,
zcrm_1936942000200574152,zcrm_1936942000216407232,VertThomas_HuschBlackwell_FOSBEL,20-Feb-24,Intellectual Property,Chemicals - Nonpharmaceuticals,Susanna Ryan,Husch Blackwell LLP,Cases Underway (5),,16-May-24,4,Outbound,Patent,,FALSE,31-May-24,31-Jul-24
